firstname,lastname,gender
Adeyemi,Ackah,1
Akosua,Anani,0
Yvette,Dzokoto,0
Olivia,Ofori-Atta,0
Yawa,Zoungrana,1
Simone,Agbobli,0
Hannah,Nyavor,0
Sabrina,Rodriguez,0
Élise,Darko,0
Kodjo,Awuku,1
Vera,Jones,0
Addison,Kowalski,0
Quintine,Morquette,0
Dela,Soglo,1
Boevi,Darko,1
Violet,Lefebvre,0
Kenneth,Opoku,1
Sophie,Akoto,0
Cécilia,Togbe,0
Kwesi,Danquah,1
Mélanie,Moreau,0
Cecile,Brown,0
Philippine,Moreau,0
Irene,Ferrari,0
Remi,Kouassi,1
Zoe,Ahove,0
Vera,Obodai,0
Denis,Ayigbe,1
Sophia,Agyeman,0
Clara,Ferreira,0
Rahul,Bakari,1
Brigitte,Ofori-Atta,0
Raymond,Moussa,1
Raymond,Tetteh,1
Stella,Sylla,0
Jean-Pierre,Osei,1
Médar,Patel,1
Christophe,Weber,1
Etienne,Moussa,1
Efia,Aidoo,0
Hailey,Avoseh,0
Afia,Avoseh,0
John,Russo,1
Sophie,Kouadio,0
Rémy,Schmidt,1
Yuki,Anani,1
Kenneth,Kouadio,1
Sarah,Zongo,0
Yasmine,Obodai,0
Madison,Esposito,0
Togbe,Awuku,1
Zoé,Zoungrana,0
Océane,Morquette,0
Sergey,Ofosu,1
Jeanne,Patel,0
Roseline,Amekudzi,0
Madeline,Amekudzi,0
Fabrice,Ofori,1
Emeka,Gonzalez,1
Nicolas,Danquah,1
Rémy,Mensah,1
Aurora,Agyeman,0
Quintine,Bakari,0
Jacques,Lefebvre,1
Martine,Dossou,0
Margaux,Gonzalez,0
Afia,Zhang,0
Violet,Schneider,0
Sylvain,Tanaka,1
Éléonore,Adomako,0
Véronique,Watanabe,0
Aline,Amegantse,0
Koku,Amevor,1
Emeka,Morquette,1
Paul,Kouadio,1
Damien,Gbikpi,1
Tania,Zoungrana,0
Jean,Davis,1
Eliana,Esposito,0
Ursule,Pereira,0
Kodjo,Foli,1
Laura,Kouadio,0
Marco,Traoré,1
Bella,Osei,0
Océane,Leroy,0
Maëlle,Darko,0
Stéphane,Soglo,1
Gabriella,Zhang,0
Diego,Garcia,1
Chen,Togbe,1
Zinnia,Tanaka,0
Sebastian,Fischer,1
Harper,Andersen,0
Winnie,Asamoah,0
Charles,Sagna,1
Nathalie,Tanaka,0
Bernard,Atsu,1
Paulin,Ayigbe,1
Luís,Martinez,1
Adwoa,Bangoura,0
Ines,Williams,0
Marine,Takyi,0
Ursula,Leroy,0
Abena,Awuku,0
Thomas,Dzokoto,1
Noémie,Kouyaté,0
Layla,Larsson,0
Romain,Diawara,1
Genesis,Ofori,0
Nicolas,Ayigbe,1
Amélie,Watanabe,0
Axelle,Pereira,0
Sébastien,Kouyaté,1
Innocent,Agbozo,1
Zara,Osei,0
Hortense,Lefebvre,0
Akakpo,Agbodeka,1
Ibrahim,Sharma,1
Dela,Li,1
Marion,Zongo,0
Vera,Avoseh,0
Paisley,Akakpo,0
Kodjo,Azamati,1
Kodjo,Obodai,1
Addison,Schmidt,0
Yao,Suzuki,1
Ditoma,Schneider,1
Henri,Sokpor,1
Kevin,Leroy,1
Ekoue,Larsson,1
Emeka,Dzokoto,1
Komi,Darko,1
Isabella,Attipoe,0
Savannah,Nkrumah,0
Louis,Batali,1
Marie,Zoungrana,0
Ulysse,Zongo,1
Raymond,Johnson,1
Amouzou,Takyi,1
Sylvain,Koulibaly,1
Dzidzor,Sarr,0
Folly,Traoré,1
Steven,Diawara,1
Océana,Tanaka,0
Perrine,Gbikpi,0
Clémence,Aidoo,0
Gaston,Darko,1
Joseph,Gnama,1
Genevieve,Awuku,0
Koku,Sagna,1
Zara,Fischer,0
Elise,Diawara,0
Médar,Ofori,1
Tina,Aidoo,0
Zelda,Anani,0
Élodie,Sokpor,0
Zacharie,Azamati,1
Wendie,Djondo,0
Wanda,Akakpo,0
Quintina,Mensah,0
Ahmed,Ferreira,1
Kwame,Miller,1
Gildas,Sagna,1
Valerie,Ferreira,0
Catherine,Quist,0
Kofi,Müller,1
Yolande,Moussa,0
Joséphine,Akakpo-Doe,0
Lise,Nayo,0
Mawuli,Schmidt,1
Sabrina,Zhang,0
Marion,Watanabe,0
Ava,Fischer,0
Ludovic,Larsson,1
Jacques,Danquah,1
Lilou,Zoungrana,0
Laure,Miller,0
Zacharie,Sylla,1
Kouadio,Miller,1
Carlos,Zongo,1
Giuseppe,Takyi,1
Violette,Agyeman,0
Stefan,Traoré,1
Henri,Amegantse,1
Sophie,Wang,0
Victoria,Kouadio,0
Emma,Ofori-Atta,0
Raymond,Müller,1
Togbe,Baah,1
Nathanael,Ofosu,1
Élodie,Diawara,0
Mawuli,Zhang,1
Paulin,Petrov,1
Louna,Santos,0
Lei,Gbikpi,1
Riley,Wang,0
Savannah,Larsson,0
Mazamesso,Brown,1
Akakpo,Kouassi,1
Hannah,Simon,0
Ama,Bakari,0
Pascale,Suzuki,0
Joseph,Akakpo-Doe,1
Pascal,Pereira,1
Laure,Bangoura,0
Damien,Batali,1
Donald,Gbedemah,1
Louna,Abliza,0
Marion,Wang,0
Baptiste,Dogbe,1
Kodjo,Miller,1
Pascale,Anani,0
Luna,Opoku,0
Blandine,Moussa,0
Olivia,Zhang,0
Quenotte,Sarr,0
Steven,Osei,1
Cecile,Avoseh,0
Luna,Foli,0
Lily,Agbodeka,0
Folly,Gbikpi,1
Bernard,Gbikpi,1
Damien,Amegashie,1
Violette,Traoré,0
Segun,Morquette,1
Isabella,Ofori,0
Harper,Anani,0
Cédric,Ofori,1
Cécilia,Ofori-Atta,0
Mireille,Schneider,0
Valentin,Amegantse,1
Kossi,Dzokoto,1
Philippine,Zouma,0
Olivier,Andersen,1
Maëlys,Wilson,0
Lise,Ayite,0
Louis,Wang,1
Pedro,Ofosu,1
Nora,Agbodeka,0
Wendy,Clark,0
Alice,Khan,0
Mansan,Dossou,0
Chloe,Togbe,0
Ekoue,Moreau,1
Ximena,Akakpo,0
Alice,Santos,0
Scarlett,Martinez,0
Katia,Takahashi,0
Isabelle,Taylor,0
Aurora,Ofori-Atta,0
Marcel,Akoto,1
Akossiwa,Nyavor,0
Amouzou,Suzuki,1
Ade,Rossi,1
Riley,Williams,0
Abdel-Aziz,Abliza,1
Hazel,Soglo,0
Rahul,Sylla,1
Nana,Amegashie,0
Stella,Traoré,0
Mark,Akakpo-Doe,1
Yves,Amekudzi,1
Yannick,Sagna,1
Kossiwa,Togbe,0
Karine,Adomako,0
Nathalie,Bakari,0
Richard,Boateng,1
Jacques,Aidoo,1
Hortense,Miller,0
Marion,Amouzou,0
Benoit,Nayo,1
Hiroshi,Khan,1
Hugues,Abliza,1
Mansan,Diabre,0
Audrey,Zongo,0
Zinnia,Ansah,0
Ivan,Müller,1
Méyébinesso,Anani,1
Violet,Diabre,0
Yōsuke,Bangoura,1
Ayouba,Boateng,1
Gildas,Amegashie,1
Jocelyn,Avoseh,1
Michael,Alassani,1
Philippe,Opoku,1
Ali,Takahashi,1
Aleksandr,Dogbe,1
Hortense,Wang,0
Azhar,Khan,1
Sophie,Atsu,0
Victor,Novak,1
Abdoulaye,Asamoah,1
Nicolas,Takahashi,1
Michael,Obodai,1
Gabriella,Adomako,0
Kevin,Agbodeka,1
Émilie,Avoseh,0
Mawusi,Garcia,0
Amandine,Togbe,0
Inès,Akoto,0
Olympe,Rossi,0
Beatrice,Obodai,0
Ursule,Ofori,0
Erik,Davis,1
Peter,Smith,1
Mansan,Nyavor,0
Giuseppe,Williams,1
Liliane,Durand,0
Abena,Rodriguez,0
Ravi,Zhang,1
Gbenga,Taylor,1
Kossi,Kouadio,1
Véronique,Ocloo,0
Aaliyah,Sylla,0
Thomas,Johnson,1
Marcus,Clark,1
Juliette,Traoré,0
Damien,Rossi,1
François,Brown,1
Sabrina,Fischer,0
Yasmine,Awuku,0
Hannah,Garcia,0
Afi,Asamoah,0
Marine,Esposito,0
Quintine,Müller,0
Roseline,Ackah,0
Emmanuel,Bakari,1
Adeline,Nayo,0
Luc,Diabre,1
Michael,Attipoe,1
Mohamed,Koulibaly,1
Remi,Esposito,1
Yōsuke,Jones,1
Médar,Avoseh,1
Kwame,Sylla,1
Alain,Amegantse,1
Odon,Atsu,1
Stefan,Müller,1
Nathanael,Takahashi,1
Akowé,Gbedemah,1
Valerie,Zhang,0
Delphine,Gbedemah,0
Kodjo,Fischer,1
Paulin,Koffi,1
Ellie,Kouadio,0
Kodjovi,Toure,1
Jürgen,Amegantse,1
Joseph,Attipoe,1
John,Kouadio,1
Abdel-Aziz,Nyaku,1
Helena,Andersen,0
Kodjo,Petrov,1
Yuki,Foli,1
Justine,Johansson,0
Addison,Davis,0
Danielle,Adzaho,0
Théo,Smith,1
Pascal,Gbikpi,1
Wendy,Ofori-Atta,0
Mia,Agbodeka,0
Laurent,Akoto,1
Sophia,Brown,0
Florence,Martinez,0
Wenceslas,Batali,1
Richard,Agbodeka,1
Brigitte,Nyavor,0
Helena,Atsu,0
Ade,Akoto,1
Ade,Mensah,1
Joelle,Moussa,0
Anani,Jones,1
Kossi,Kouyaté,1
Victoria,Kouyaté,0
Pascal,Darko,1
Wei,Kouadio,1
Zélie,Darko,0
Hazel,Awuku,0
Valentine,Sharma,0
Cédric,Traoré,1
Alain,Zoungrana,1
Winnie,Martinez,0
Adjoa,Attipoe,0
Téléky,Nkrumah,1
ruth,Dossou,0
Victor,Agbozo,1
Théo,Takyi,1
Lars,Ocloo,1
Kokou,Hounnou,1
Amouzou,Togbe,1
Joshua,Li,1
Hussein,Wang,1
Gbenga,Müller,1
Omar,Amegantse,1
Charles,Attipoe,1
Sven,Kouyaté,1
Elena,Boateng,0
Rachelle,Amegantse,0
Hortense,Liu,0
Innocent,Brown,1
Méyébinesso,Mensah,1
Michael,Davis,1
Atsuko,Ackah,0
Eloise,Djondo,0
IDRISSOU,Sokpor,1
Brooklyn,Dossou,0
Komi,Ofosu,1
Donald,Lopez,1
Julien,Ofosu,1
Aline,Kowalski,0
Efia,Amouzou,0
Caleb,Lopez,1
Dodji,Nayo,1
Diane,Patel,0
Afia,Akakpo,0
Vijay,Khan,1
Takashi,Zoungrana,1
Kafui,Azamati,0
Giselle,Soglo,0
Brigitte,Amegantse,0
Quenotte,Chen,0
Zoe,Agbodeka,0
Damien,Morquette,1
Cecilia,Ferreira,0
Xenia,Rossi,0
Karine,Avoseh,0
Catherine,Martinez,0
Joseph,Bakari,1
Komi,Nyavor,1
Valerie,Novak,0
Jean-Pierre,Takyi,1
Dela,Ofosu,1
Sarah,Osei,0
Caroline,Baah,0
Bèni,Clark,1
Zoé,Boateng,0
Éléonore,Attipoe,0
Miguel,Moussa,1
Akakpo,Ofosu,1
Etienne,Adomako,1
Quenotte,Nkrumah,0
Mohamed,Soglo,1
Sophia,Soglo,0
Nana,Alassani,0
Amélie,Bakari,0
Xavier,Esposito,1
Emeka,Aidoo,1
Carlos,Ahove,1
Joséphine,Anani,0
Abena,Zouma,0
Hubert,Davis,1
Anani,Amegantse,1
Riley,Baah,0
Jacques,Nkrumah,1
Océane,Koulibaly,0
Yvette,Takahashi,0
Helena,Davis,0
Esso,Toure,1
Jacques,Miller,1
Dodji,Kouassi,1
Oluwaseun,Sarr,1
Ravi,Akakpo,1
Efia,Petrov,0
Didi,Bakari,1
Serge,Kouyaté,1
Clara,Diabre,0
Quenotte,Smith,0
Cécilia,Traoré,0
Allison,Alassani,0
Violette,Durand,0
Hailey,Novak,0
Ursule,Adzaho,0
Gabriella,Davis,0
Ivan,Amevor,1
Michel,Schneider,1
Élodie,Mensah,0
Noémie,Sharma,0
Queen,Novak,0
Katherine,Silva,0
Luc,Koulibaly,1
Isabella,Johnson,0
Zélie,Hounnou,0
Nana,Khan,0
Gérard,Aidoo,1
Wenceslas,Davis,1
Dmitry,Ayite,1
Tatiana,Wilson,0
Abdel-Aziz,Sato,1
Ophelie,Akoto,0
Clara,Khan,0
Mila,Hansen,0
Joshua,Kouadio,1
Alice,Nkrumah,0
Sabrina,Andersen,0
Kokouga,Hounnou,1
Julie,Mensah,0
Louis,Avoseh,1
Julien,Awuku,1
Jean-Pierre,Diawara,1
Ilétou,Adomako,0
Peter,Wang,1
Lilou,Chen,0
Noah,Azamati,1
Jeanne,Sylla,0
Elise,Wilson,0
Wei,Ackah,1
Paulin,Esposito,1
Harper,Agyeman,0
Thibault,Silva,1
Gildas,Kouyaté,1
LARE,Batali,1
Luna,Awuku,0
Maëlys,Li,0
Sebastian,Ocloo,1
Elena,Osei,0
Cédric,Sokpor,1
Steven,Bangoura,1
Segun,Sagna,1
Dzidzor,Akoto,0
Jean-Pierre,Sato,1
Adrien,Martinez,1
Caroline,Abliza,0
Johan,Agbozo,1
Maïwenn,Simon,0
Lei,Sarr,1
Jacqueline,Amegashie,0
Azhar,Atsu,1
Océana,Davis,0
Brigitte,Liu,0
Louis,Koffi,1
Clement,Petrov,1
Ophelie,Ofosu,0
Adeyemi,Takahashi,1
Aaliyah,Takyi,0
Océana,Moussa,0
Hailey,Sato,0
William,Sylla,1
Marine,Smith,0
Quentin,Khan,1
Yao,Nayo,1
Ludovic,Ferrari,1
Peter,Andersen,1
Émilie,Fischer,0
Helene,Simon,0
Lilou,Ayigbe,0
Franck,Quist,1
Emeka,Garcia,1
Serena,Sarr,0
Paolo,Ayite,1
Lily,Zoungrana,0
Quentin,Azamati,1
Kodjo,Ackah,1
Tiphaine,Moussa,0
Olympe,Martinez,0
Odile,Bangoura,0
Grace,Rodriguez,0
Yōsuke,Patel,1
Kwesi,Zouma,1
Awura,Bangoura,0
Ursule,Ocloo,0
Adrien,Owusu,1
Koffi,Asamoah,1
Lei,Petrov,1
Natalie,Nyavor,0
Yao,Darko,1
Manon,Amevor,0
Henri,Obodai,1
Perrine,Hounnou,0
Youssef,Nkrumah,1
Clement,Ofori-Atta,1
Komi,Koffi,1
Jean,Johansson,1
Madeline,Ferreira,0
Liliane,Johansson,0
Olivier,Wilson,1
Talitha,Bangoura,0
Yannick,Opoku,1
Efia,Moreau,0
Inès,Abliza,0
Brigitte,Batali,0
Cheikh,Asamoah,1
Manon,Togbe,0
Emma,Kouyaté,0
Samira,Wang,0
Odile,Wang,0
Mireille,Santos,0
Helena,Chen,0
Robert,Bakari,1
Wendy,Zoungrana,0
Kodjo,Adzaho,1
Perrine,Agbozo,0
Kodjo,Diallo,1
Giselle,Lopez,0
Laura,Darko,0
Charlène,Agbodeka,0
Pascale,Sharma,0
Emeka,Abliza,1
Zara,Danquah,0
Arjun,Kouadio,1
Annabelle,Adomako,0
Riley,Tanaka,0
Zinnia,Azamati,0
Ayouba,Adomako,1
Ulysse,Takahashi,1
Hiroshi,Miller,1
Eloise,Azamati,0
Steven,Attipoe,1
Christopher,Zongo,1
Didi,Dossou,1
Charlène,Tchamye,0
Wanda,Amegantse,0
Valentine,Ferrari,0
Queen,Sharma,0
Karine,Mensah,0
Arjun,Larsson,1
Chen,Weber,1
Mawusi,Lefebvre,0
Matthew,Diabre,1
Rachelle,Patel,0
Essowaza,Miller,1
IDRISSOU,Tchamye,1
John,Attipoe,1
Kwesi,Togbe,1
Sarah,Ocloo,0
Paisley,Ivanov,0
Zoe,Alassani,0
Théo,Nyaku,1
Ophelie,Patel,0
Axelle,Diabre,0
Folly,Agbobli,1
Adeyemi,Tchamye,1
Margaux,Brown,0
Christophe,Schneider,1
Bella,Gupta,0
Valentine,Takyi,0
Zélie,Russo,0
Yōsuke,Chen,1
Wei,Mensah,1
Nadine,Osei,0
Quintine,Osei,0
Steven,Gnama,1
Jacqueline,Zoungrana,0
Dominique,Ivanov,1
Quenotte,Abliza,0
Beatrice,Abliza,0
Éléonore,Bakari,0
Kwame,Gupta,1
Aline,Tanaka,0
Océana,Schneider,0
Téléky,Hounnou,1
Clémence,Kouassi,0
Pascal,Koulibaly,1
Hassan,Schneider,1
Gabriella,Russo,0
Inès,Tanaka,0
Viviane,Gbikpi,0
Dzidzor,Tetteh,0
Mila,Diawara,0
Sebastian,Jones,1
Kossi,Chen,1
Perrine,Bangoura,0
Isabelle,Tetteh,0
Laura,Sato,0
Ulysse,Dossou,1
Ditoma,Chen,1
Amouzou,Mensah,1
Efua,Petrov,0
Julia,Patel,0
Inès,Patel,0
Sarah,Gnama,0
Antoine,Zongo,1
Efua,Kouadio,0
Chloe,Taylor,0
Benoit,Ivanov,1
Gifty,Watanabe,0
Mazamesso,Kouassi,1
Peter,Amegashie,1
Marco,Liu,1
Xaviera,Atsu,0
Ellie,Tanaka,0
Tristan,Gupta,1
Yaa,Müller,0
Camila,Jones,0
Stella,Abliza,0
Bassooma,Zoungrana,1
Adjoua,Azamati,1
Cecilia,Zhang,0
Madison,Boateng,0
Adeline,Davis,0
Marguerite,Ivanov,0
Patience,Akakpo-Doe,0
Quenotte,Brown,0
Hassan,Kouadio,1
Ariana,Leroy,0
Koffi,Schmidt,1
Camila,Zouma,0
Peter,Atsu,1
Ursule,Ivanov,0
Wendie,Singh,0
ruth,Traoré,0
Kokouga,Asamoah,1
Ava,Zoungrana,0
Dodji,Dzokoto,1
Ava,Andersen,0
Philippe,Miller,1
Hannah,Moreau,0
Bella,Akakpo-Doe,0
Inès,Baah,0
Kokou,Jones,1
Ximena,Moussa,0
Cédric,Singh,1
Elise,Toure,0
Audrey,Darko,0
Kodjo,Müller,1
Fleur,Alassani,0
Abiré,Ahove,0
Daniel,Wang,1
Inès,Bangoura,0
Georges,Gnama,1
Viviane,Diawara,0
IDRISSOU,Esposito,1
Sylvain,Andersen,1
Zelda,Dogbe,0
Marion,Darko,0
Ibrahim,Batali,1
Wenceslas,Togbe,1
Katherine,Davis,0
Ilétou,Dossou,0
Ade,Lawson,1
Nadine,Akoto,0
Kodjo,Pereira,1
Mireille,Kowalski,0
Jean-Pierre,Ayigbe,1
Amenyo,Koulibaly,0
Aline,Ayite,0
Zoé,Amegantse,0
Yasmine,Ocloo,0
Penelope,Singh,0
Olivier,Smith,1
Peter,Taylor,1
Xenia,Obodai,0
Franck,Zongo,1
Thomas,Attipoe,1
Julia,Togbe,0
Awura,Müller,0
Bella,Chen,0
Zelda,Wilson,0
Samira,Diallo,0
Mensah,Traoré,1
Atsuko,Koulibaly,0
Ursula,Petrov,0
Amelia,Leroy,0
Folly,Ahove,1
Emma,Asamoah,0
Beatrice,Zouma,0
Xavier,Patel,1
Gérard,Sarr,1
Skylar,Gonzalez,0
Lei,Wilson,1
Luc,Kouadio,1
Etienne,Ansah,1
Clara,Traoré,0
Anthony,Attipoe,1
Mélanie,Ferrari,0
Eloise,Silva,0
Rosalie,Attipoe,0
Brian,Ayigbe,1
Hussein,Suzuki,1
Maëlys,Anani,0
Chen,Clark,1
Komi,Amouzou,1
Sarah,Sato,0
Mohamed,Kouadio,1
Annabelle,Traoré,0
Maxime,Boateng,1
Ibrahim,Larsson,1
Julie,Obodai,0
Miguel,Akakpo-Doe,1
Hailey,Ivanov,0
Togbe,Lopez,1
Sebastian,Obodai,1
Hans,Agyeman,1
Odile,Santos,0
Abdoulaye,Kowalski,1
Odette,Gbedemah,0
Atsuko,Amekudzi,0
Ezechiel,Opoku,1
Régis,Zongo,1
David,Khan,1
Vera,Andersen,0
Mazamesso,Amevor,1
Tiphaine,Ahove,0
Kevin,Tchamye,1
Steven,Watanabe,1
Tina,Opoku,0
Hilaire,Abliza,1
Skylar,Agbobli,0
Esso,Dossou,1
Luís,Bangoura,1
Yolande,Soglo,0
Kenneth,Sylla,1
Akossiwa,Toure,0
Adeline,Asamoah,0
Martine,Rossi,0
Cheikh,Johnson,1
Ditoma,Liu,1
Rebecca,Weber,0
Hussein,Amouzou,1
Roxane,Simon,0
Eloise,Ofori-Atta,0
Cécilia,Asamoah,0
Steven,Avoseh,1
Ursule,Morquette,0
Raymond,Nyavor,1
Séraphine,Santos,0
Florence,Leroy,0
Delphine,Kowalski,0
Isabelle,Gonzalez,0
Samira,Davis,0
Marie,Soglo,0
Chen,Quist,1
Abiré,Awuku,0
Olivier,Zongo,1
Essowaza,Amevor,1
Ezechiel,Toure,1
Ellie,Pereira,0
Inès,Nkrumah,0
Ivan,Alassani,1
Marine,Patel,0
Marine,Ivanov,0
Kenneth,Wilson,1
Oluwaseun,Watanabe,1
Kodjovi,Moreau,1
Raymond,Batali,1
Agbeko,Avoseh,1
Yawa,Asamoah,1
Oluwaseun,Ayite,1
Klaus,Ofosu,1
Marion,Moussa,0
Blandine,Lawson,0
Émilie,Tanaka,0
Gildas,Ayigbe,1
Emily,Dogbe,0
Hilaire,Traoré,1
Madison,Taylor,0
Nadine,Ayigbe,0
Noah,Russo,1
Abdoulaye,Lopez,1
Didi,Johansson,1
Michael,Hansen,1
Atsuko,Amevor,0
Jürgen,Avoseh,1
Audrey,Quist,0
Élodie,Zoungrana,0
Benoit,Gbikpi,1
Ariana,Gbikpi,0
Miguel,Azamati,1
Axelle,Johnson,0
Christopher,Ansah,1
Abdel-Aziz,Jones,1
Pascal,Mensah,1
Kodjo,Larsson,1
Fiosron,Simon,0
Odon,Zhang,1
Mireille,Ivanov,0
Togbe,Rodriguez,1
Gaston,Owusu,1
Arjun,Johnson,1
Kossi,Zoungrana,1
Skylar,Ansah,0
Afi,Johansson,0
Tina,Rossi,0
Hans,Dossou,1
Brian,Asamoah,1
Philippine,Tanaka,0
Zelda,Petrov,0
Willy,Chen,1
Luc,Anani,1
Jürgen,Ofori,1
Gildas,Dogbe,1
Hilaire,Anani,1
Gilles,Darko,1
Kodjovi,Azamati,1
Violet,Suzuki,0
Jocelyn,Schneider,1
Talitha,Watanabe,0
Sarah,Ivanov,0
Wenceslas,Moussa,1
Komivi,Moussa,1
Ursule,Lopez,0
Penelope,Clark,0
Talitha,Petrov,0
James,Tanaka,1
Omar,Moussa,1
Louna,Johansson,0
Yasmine,Takahashi,0
Vincent,Koffi,1
Essowaza,Akakpo-Doe,1
Wenceslas,Lopez,1
Ellie,Kouyaté,0
Ivan,Ayigbe,1
Jürgen,Moussa,1
